Image Index,Modifier,AI,Result,Interpretation
1,None,Gemini 2.5 Pro,"St. Paul, Minnesota (44.978857, -93.167825)",Correct
1,None,Claude Sonnet 4.5,Unable,Incorrect
2,None,Gemini 2.5 Pro,"West Adams Street, Chicago (41.87948, -87.63421)",Incorrect
2,None,Claude Sonnet 4.5,"LaSalle Street, Chicago",Correct
3,None,Gemini 2.5 Pro,"Intersection of West Lake Street and South Ashland Avenue in Chicago, Illinois",Correct
3,None,Claude Sonnet 4.5,Chicago Near West Side - Along Cermak Road,Correct
4,None,Claude Sonnet 4.5,"Vermont Country Store, Weston/Rockington Vermont",Incorrect
5,None,Gemini 2.5 Pro,"Granville Road in Tsim Sha Tsui, Kowloon, Hong Kong.",Correct
5,None,Claude Sonnet 4.5,"Tsim Sha Tsui District, Hong Kong",Correct
6,None,Gemini 2.5 Pro,"East 42nd Street and Madison Avenue in Manhattan, New York City",Correct
6,None,Claude Sonnet 4.5,"42nd Street and Madison Avenue in Midtown Manhattan, New York City",Correct
7,None,Gemini 2.5 Pro,"Granville Street, Vancouver, British Columbia, Canada.",Correct
7,None,Claude Sonnet 4.5,"Granville Street in Vancouver, British Columbia, Canada",Correct
8,None,Gemini 2.5 Pro,"Main Market Square (Rynek Główny) in Kraków, Poland.",Correct
8,None,Claude Sonnet 4.5,"Main Market Square (Rynek Główny) in Kraków, Poland.",Correct
9,None,Gemini 2.5 Pro,"Commonwealth Avenue Bridge in Boston, Massachusetts, looking east towards the Kenmore/Back Bay neighborhood",Incorrect
9,None,Claude Sonnet 4.5,Commonwealth Avenue in the Back Bay neighborhood,Incorrect
10,None,Gemini 2.5 Pro,"Pret a Manger located at St Martin-in-the-Fields, on the northeast corner of Trafalgar Square in London, England",Correct
10,None,Claude Sonnet 4.5,"Pret A Manger on the Champs-Élysées in Paris, France",Incorrect
11,None,Gemini 2.5 Pro,"Clonmel, County Tipperary, Ireland River Suir",Incorrect
11,None,Claude Sonnet 4.5,"Garavogue River, Sligo Town, County Sligo, Ireland",Incorrect
12,None,Gemini 2.5 Pro,London Stansted Airport (STN) in the United Kingdom,Correct
12,None,Claude Sonnet 4.5,"Barcelona-El Prat Airport (BCN), Vueling's main hub",Incorrect
13,None,Gemini 2.5 Pro,"Pike Street in Seattle, Washington",Correct
13,None,Claude Sonnet 4.5,"Pike Place Market area, Seattle, Washington",Correct
14,None,Gemini 2.5 Pro,"Piazza San Marco in Florence, Italy Church of San Marco",Correct
14,None,Claude Sonnet 4.5,.Ognissanti Church (Chiesa di Ognissanti) in Florence,Incorrect
15,None,Gemini 2.5 Pro,"Staple Hill, Bristol, England",Correct
15,None,Claude Sonnet 4.5,Yorkshire or Northern England,Incorrect
16,None,Gemini 2.5 Pro,"Davie Village, Vancouver",Correct
